Code,Date,Open,High,Low,Close,Volume,Value,Trades,N/A,N/A
XJR,2020-8-31,0,4627.9,4585,4608.7,0,0,0,N/A,N/A
XJR,2020-9-1,0,4608.7,4504.3,4570.2,0,0,0,N/A,N/A
XJR,2020-9-2,0,4674.5,4570.2,4648.5,0,0,0,N/A,N/A
XJR,2020-9-3,0,4648.5,4589.2,4614.4,0,0,0,N/A,N/A
XJR,2020-9-4,0,4614.4,4461.2,4470.8,0,0,0,N/A,N/A
XJR,2020-9-7,0,4549.7,4470.8,4535.5,0,0,0,N/A,N/A
XJR,2020-9-8,0,4597.3,4535.5,4583.9,0,0,0,N/A,N/A
XJR,2020-9-9,0,4583.9,4466,4491,0,0,0,N/A,N/A
XJR,2020-9-10,0,4571.6,4491,4531,0,0,0,N/A,N/A
XJR,2020-9-11,0,4531,4448.1,4460.8,0,0,0,N/A,N/A
XJR,2020-9-14,0,4574.5,4460.8,4569.5,0,0,0,N/A,N/A
XJR,2020-9-15,0,4615.2,4569.5,4595,0,0,0,N/A,N/A
XJR,2020-9-16,0,4645.2,4595,4619.7,0,0,0,N/A,N/A
XJR,2020-9-17,0,4628.2,4517.8,4521.9,0,0,0,N/A,N/A
XJR,2020-9-18,0,4597.1,4521.9,4567.6,0,0,0,N/A,N/A
XJR,2020-9-21,0,4567.6,4513.8,4520.7,0,0,0,N/A,N/A
XJR,2020-9-22,0,4520.7,4395.9,4421.8,0,0,0,N/A,N/A
